t,j1,j2,j3,j4,j5,j6,jc1,jc2,jc3,jc4,jc5,jc6,t1,t2,t3,t4,t5,t6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,1.53775e-06,-6.07944e-06,0,2.1286e-06,0,0,0.00015708,0.00020944,0.000628319,-0.000314159,0,0,0.0622165,0.0862086,0.251328,-0.126516,0
0.002,-2.36309e-06,4.88936e-06,-1.99777e-05,1.81614e-05,-8.34485e-06,-1.25338e-06,0,0.000314159,0.000418879,0.00125664,-0.000628319,0,0.000945607,0.123707,0.175549,0.495392,-0.24799,0.00050136
0.003,-7.0954e-06,8.97832e-06,-3.84185e-05,6.01904e-05,-3.14947e-05,-2.57101e-06,0,0.000471239,0.000628319,0.00188496,-0.000942478,0,0.0028398,0.184901,0.266712,0.729906,-0.364391,0.00102843
0.004,-1.34201e-05,1.30003e-05,-5.88839e-05,0.000125618,-6.67149e-05,-3.84426e-06,0,0.000628319,0.000837758,0.00251327,-0.00125664,0,0.00537211,0.246122,0.358693,0.955057,-0.475961,0.00153776
0.005,-2.07147e-05,1.63628e-05,-7.94335e-05,0.000213614,-0.000113442,-5.05084e-06,0,0.000785398,0.0010472,0.00314159,-0.0015708,0,0.00829354,0.307609,0.450713,1.17117,-0.582923,0.00202043
0.006,-2.8518e-05,1.86405e-05,-9.85844e-05,0.000323335,-0.000171153,-6.18226e-06,0,0.000942478,0.00125664,0.00376991,-0.00188496,0,0.0114195,0.369532,0.542179,1.37859,-0.685485,0.00247307
0.007,-3.64937e-05,1.95406e-05,-0.000115215,0.000453957,-0.000239356,-7.23498e-06,0,0.00109956,0.00146608,0.00439823,-0.00219911,0,0.0146154,0.432011,0.632642,1.57765,-0.783844,0.00289424
0.008,-4.43999e-05,1.88739e-05,-0.000128491,0.000604672,-0.000317592,-8.20807e-06,0,0.00125664,0.00167552,0.00502655,-0.00251327,0,0.0177842,0.495124,0.721766,1.76865,-0.878183,0.00328358
0.009,-5.20659e-05,1.65331e-05,-0.000137801,0.000774695,-0.000405427,-9.10222e-06,0,0.00141372,0.00188496,0.00565487,-0.00282743,0,0.0208574,0.558913,0.809305,1.95193,-0.968676,0.00364136
0.01,-5.93742e-05,1.24748e-05,-0.00014271,0.000963267,-0.00050245,-9.91919e-06,0,0.0015708,0.0020944,0.00628319,-0.00314159,0,0.0237879,0.623399,0.895085,2.12778,-1.05549,0.00396831
